Date;Time;Feed 1 Output
May 26, 2023;10:58:21 AM;0,00
May 26, 2023;10:58:37 AM;50,00
May 26, 2023;10:58:47 AM;0,00
May 30, 2023;11:36:33 AM;0,00
May 30, 2023;4:33:48 PM;50,00
May 30, 2023;4:35:57 PM;0,00
May 30, 2023;4:36:31 PM;0,00
May 30, 2023;4:36:51 PM;90,00
May 30, 2023;4:38:53 PM;0,00
May 30, 2023;4:39:53 PM;0,00
May 30, 2023;4:40:04 PM;100,00
May 30, 2023;4:42:07 PM;0,00
May 30, 2023;4:42:56 PM;0,00
May 30, 2023;4:43:21 PM;50,00
May 30, 2023;4:45:23 PM;0,00
May 30, 2023;4:47:40 PM;0,00
May 30, 2023;4:52:54 PM;0,00
May 30, 2023;5:04:24 PM;0,00
May 31, 2023;9:34:33 AM;0,00
May 31, 2023;9:43:40 AM;0,00
May 31, 2023;9:43:51 AM;1,00
May 31, 2023;9:44:22 AM;0,00
May 31, 2023;10:14:24 AM;0,00
May 31, 2023;10:17:30 AM;0,00
May 31, 2023;1:13:01 PM;0,00
May 31, 2023;1:14:00 PM;0,00
May 31, 2023;1:14:21 PM;0,00
May 31, 2023;1:16:31 PM;0,00
May 31, 2023;1:17:25 PM;0,00
May 31, 2023;1:22:35 PM;0,00
May 31, 2023;1:28:17 PM;0,00
May 31, 2023;4:10:25 PM;0,00
May 31, 2023;4:10:57 PM;0,00
May 31, 2023;4:11:06 PM;0,00
May 31, 2023;4:11:11 PM;0,00
May 31, 2023;4:11:16 PM;0,00
May 31, 2023;4:11:21 PM;0,00
May 31, 2023;4:11:31 PM;0,00
May 31, 2023;4:11:36 PM;0,00
May 31, 2023;4:11:41 PM;0,00
May 31, 2023;4:11:46 PM;0,00
May 31, 2023;4:11:51 PM;0,00
May 31, 2023;4:11:56 PM;0,00
May 31, 2023;4:12:01 PM;0,00
May 31, 2023;4:12:06 PM;0,00
May 31, 2023;4:12:11 PM;0,00
May 31, 2023;4:12:16 PM;0,00
May 31, 2023;4:12:26 PM;0,00
May 31, 2023;4:12:31 PM;0,00
May 31, 2023;4:12:36 PM;0,00
May 31, 2023;4:12:41 PM;0,00
May 31, 2023;4:12:46 PM;0,00
May 31, 2023;4:12:51 PM;0,00
May 31, 2023;4:12:56 PM;0,00
May 31, 2023;4:13:01 PM;0,00
May 31, 2023;4:13:06 PM;0,00
May 31, 2023;4:13:11 PM;0,00
May 31, 2023;4:13:16 PM;0,00
May 31, 2023;4:13:21 PM;0,00
May 31, 2023;4:13:26 PM;0,00
May 31, 2023;4:13:31 PM;0,00
May 31, 2023;4:13:36 PM;0,00
May 31, 2023;4:13:41 PM;0,00
May 31, 2023;4:13:46 PM;0,00
May 31, 2023;4:13:51 PM;0,00
May 31, 2023;4:13:56 PM;0,00
May 31, 2023;4:14:01 PM;0,00
May 31, 2023;4:14:11 PM;0,00
May 31, 2023;4:14:21 PM;0,00
May 31, 2023;4:14:31 PM;0,00
May 31, 2023;4:14:36 PM;0,00
May 31, 2023;4:14:41 PM;0,00
May 31, 2023;4:14:46 PM;0,00
May 31, 2023;4:14:51 PM;0,00
May 31, 2023;4:14:56 PM;0,00
May 31, 2023;4:15:01 PM;0,00
May 31, 2023;4:15:06 PM;0,00
May 31, 2023;4:15:11 PM;0,00
May 31, 2023;4:15:21 PM;0,00
May 31, 2023;4:15:26 PM;0,00
May 31, 2023;4:15:31 PM;0,00
May 31, 2023;4:15:41 PM;0,00
May 31, 2023;4:15:46 PM;0,00
May 31, 2023;4:15:51 PM;0,00
May 31, 2023;4:15:56 PM;0,00
May 31, 2023;4:16:01 PM;0,00
May 31, 2023;4:16:06 PM;0,00
May 31, 2023;4:16:11 PM;0,00
May 31, 2023;4:16:16 PM;0,00
May 31, 2023;4:16:21 PM;0,00
May 31, 2023;4:16:26 PM;0,00
May 31, 2023;4:16:31 PM;0,00
May 31, 2023;4:16:36 PM;0,00
May 31, 2023;4:16:46 PM;0,00
May 31, 2023;4:16:51 PM;0,00
May 31, 2023;4:17:01 PM;0,00
May 31, 2023;4:17:06 PM;0,00
May 31, 2023;4:17:16 PM;0,00
May 31, 2023;4:17:26 PM;0,00
May 31, 2023;4:17:31 PM;0,00
May 31, 2023;4:17:36 PM;0,00
May 31, 2023;4:17:41 PM;0,00
May 31, 2023;4:17:46 PM;0,00
May 31, 2023;4:17:51 PM;0,00
May 31, 2023;4:17:56 PM;0,00
May 31, 2023;4:18:01 PM;0,00
May 31, 2023;4:18:06 PM;0,00
May 31, 2023;4:18:11 PM;0,00
May 31, 2023;4:18:16 PM;0,00
May 31, 2023;4:18:21 PM;0,00
May 31, 2023;4:18:26 PM;0,00
May 31, 2023;4:18:31 PM;0,00
May 31, 2023;4:18:36 PM;0,00
May 31, 2023;4:18:41 PM;0,00
May 31, 2023;4:18:46 PM;0,00
May 31, 2023;4:18:51 PM;0,00
May 31, 2023;4:19:01 PM;0,00
May 31, 2023;4:19:06 PM;0,00
May 31, 2023;4:19:11 PM;0,00
May 31, 2023;4:19:16 PM;0,00
May 31, 2023;4:19:21 PM;0,00
May 31, 2023;4:19:26 PM;0,00
May 31, 2023;4:19:36 PM;0,00
May 31, 2023;4:19:41 PM;0,00
May 31, 2023;4:19:46 PM;0,00
May 31, 2023;4:19:51 PM;0,00
May 31, 2023;4:20:01 PM;0,00
May 31, 2023;4:20:06 PM;0,00
May 31, 2023;4:20:16 PM;0,00
May 31, 2023;4:20:21 PM;0,00
May 31, 2023;4:20:26 PM;0,00
May 31, 2023;4:20:31 PM;0,00
May 31, 2023;4:20:36 PM;0,00
May 31, 2023;4:20:41 PM;0,00
May 31, 2023;4:20:46 PM;0,00
May 31, 2023;4:20:51 PM;0,00
May 31, 2023;4:20:56 PM;0,00
May 31, 2023;4:21:01 PM;0,00
May 31, 2023;4:21:06 PM;0,00
May 31, 2023;4:21:16 PM;0,00
May 31, 2023;4:21:26 PM;0,00
May 31, 2023;4:21:31 PM;0,00
May 31, 2023;4:21:36 PM;0,00
May 31, 2023;4:21:41 PM;0,00
May 31, 2023;4:21:46 PM;0,00
May 31, 2023;4:21:51 PM;0,00
May 31, 2023;4:21:56 PM;0,00
May 31, 2023;4:22:01 PM;0,00
May 31, 2023;4:22:06 PM;0,00
May 31, 2023;4:22:11 PM;0,00
May 31, 2023;4:22:16 PM;0,00
May 31, 2023;4:22:21 PM;0,00
May 31, 2023;4:22:26 PM;0,00
May 31, 2023;4:22:31 PM;0,00
May 31, 2023;4:22:36 PM;0,00
May 31, 2023;4:22:41 PM;0,00
May 31, 2023;4:22:46 PM;0,00
May 31, 2023;4:22:51 PM;0,00
May 31, 2023;4:22:56 PM;0,00
May 31, 2023;4:23:01 PM;0,00
May 31, 2023;4:23:06 PM;0,00
May 31, 2023;4:23:11 PM;0,00
May 31, 2023;4:23:16 PM;0,00
May 31, 2023;4:23:21 PM;0,00
May 31, 2023;4:23:26 PM;0,00
May 31, 2023;4:23:36 PM;0,00
May 31, 2023;4:23:41 PM;0,00
May 31, 2023;4:23:46 PM;0,00
May 31, 2023;4:23:51 PM;0,00
May 31, 2023;4:23:56 PM;0,00
May 31, 2023;4:24:01 PM;0,00
May 31, 2023;4:24:06 PM;0,00
May 31, 2023;4:24:11 PM;0,00
May 31, 2023;4:24:21 PM;0,00
May 31, 2023;4:24:26 PM;0,00
May 31, 2023;4:24:31 PM;0,00
May 31, 2023;4:24:41 PM;0,00
May 31, 2023;4:24:46 PM;0,00
May 31, 2023;4:24:51 PM;0,00
May 31, 2023;4:24:56 PM;0,00
May 31, 2023;4:25:01 PM;0,00
May 31, 2023;4:25:06 PM;0,00
May 31, 2023;4:25:11 PM;0,00
May 31, 2023;4:25:16 PM;0,00
May 31, 2023;4:25:21 PM;0,00
May 31, 2023;4:25:26 PM;0,00
May 31, 2023;4:25:31 PM;0,00
May 31, 2023;4:25:36 PM;0,00
May 31, 2023;4:25:41 PM;0,00
May 31, 2023;4:25:46 PM;0,00
May 31, 2023;4:25:51 PM;0,00
May 31, 2023;4:25:56 PM;0,00
May 31, 2023;4:26:01 PM;0,00
May 31, 2023;4:26:06 PM;0,00
May 31, 2023;4:26:11 PM;0,00
May 31, 2023;4:26:16 PM;0,00
May 31, 2023;4:26:21 PM;0,00
May 31, 2023;4:26:26 PM;0,00
May 31, 2023;4:26:31 PM;0,00
May 31, 2023;4:26:36 PM;0,00
May 31, 2023;4:26:41 PM;0,00
May 31, 2023;4:26:46 PM;0,00
May 31, 2023;4:26:51 PM;0,00
May 31, 2023;4:26:56 PM;0,00
May 31, 2023;4:27:06 PM;0,00
May 31, 2023;4:27:11 PM;0,00
May 31, 2023;4:27:16 PM;0,00
May 31, 2023;4:27:21 PM;0,00
May 31, 2023;4:27:26 PM;0,00
May 31, 2023;4:27:31 PM;0,00
May 31, 2023;4:27:36 PM;0,00
May 31, 2023;4:27:41 PM;0,00
May 31, 2023;4:27:46 PM;0,00
May 31, 2023;4:27:51 PM;0,00
May 31, 2023;4:27:56 PM;0,00
May 31, 2023;4:28:01 PM;0,00
May 31, 2023;4:28:06 PM;0,00
May 31, 2023;4:28:11 PM;0,00
May 31, 2023;4:28:21 PM;0,00
May 31, 2023;4:28:26 PM;0,00
May 31, 2023;4:28:31 PM;0,00
May 31, 2023;4:28:36 PM;0,00
May 31, 2023;4:28:46 PM;0,00
May 31, 2023;4:28:51 PM;0,00
May 31, 2023;4:28:56 PM;0,00
May 31, 2023;4:29:01 PM;0,00
May 31, 2023;4:29:06 PM;0,00
May 31, 2023;4:29:11 PM;0,00
May 31, 2023;4:29:16 PM;0,00
May 31, 2023;4:29:21 PM;0,00
May 31, 2023;4:29:26 PM;0,00
May 31, 2023;4:29:31 PM;0,00
May 31, 2023;4:29:36 PM;0,00
May 31, 2023;4:29:41 PM;0,00
May 31, 2023;4:29:51 PM;0,00
May 31, 2023;4:29:56 PM;0,00
May 31, 2023;4:30:06 PM;0,00
May 31, 2023;4:30:11 PM;0,00
May 31, 2023;4:30:16 PM;0,00
May 31, 2023;4:30:21 PM;0,00
May 31, 2023;4:30:26 PM;0,00
May 31, 2023;4:30:31 PM;0,00
May 31, 2023;4:30:36 PM;0,00
May 31, 2023;4:30:41 PM;0,00
May 31, 2023;4:30:46 PM;0,00
May 31, 2023;4:30:51 PM;0,00
May 31, 2023;4:30:56 PM;0,00
May 31, 2023;4:31:01 PM;0,00
May 31, 2023;4:31:06 PM;0,00
May 31, 2023;4:31:11 PM;0,00
May 31, 2023;4:31:16 PM;0,00
May 31, 2023;4:31:21 PM;0,00
May 31, 2023;4:31:26 PM;0,00
May 31, 2023;4:31:31 PM;0,00
May 31, 2023;4:31:36 PM;0,00
May 31, 2023;4:31:41 PM;0,00
May 31, 2023;4:31:46 PM;0,00
May 31, 2023;4:31:51 PM;0,00
May 31, 2023;4:32:01 PM;0,00
May 31, 2023;4:32:06 PM;0,00
May 31, 2023;4:32:11 PM;0,00
May 31, 2023;4:32:16 PM;0,00
May 31, 2023;4:32:21 PM;0,00
May 31, 2023;4:32:26 PM;0,00
May 31, 2023;4:32:31 PM;0,00
May 31, 2023;4:32:41 PM;0,00
May 31, 2023;4:32:51 PM;0,00
May 31, 2023;4:32:56 PM;0,00
May 31, 2023;4:33:01 PM;0,00
May 31, 2023;4:33:06 PM;0,00
May 31, 2023;4:33:11 PM;0,00
May 31, 2023;4:33:16 PM;0,00
May 31, 2023;4:33:21 PM;0,00
May 31, 2023;4:33:26 PM;0,00
May 31, 2023;4:33:31 PM;0,00
May 31, 2023;4:33:36 PM;0,00
May 31, 2023;4:33:41 PM;0,00
May 31, 2023;4:33:46 PM;0,00
May 31, 2023;4:33:51 PM;0,00
May 31, 2023;4:33:57 PM;0,00
May 31, 2023;4:34:02 PM;0,00
May 31, 2023;4:34:07 PM;0,00
May 31, 2023;4:34:17 PM;0,00
May 31, 2023;4:34:22 PM;0,00
May 31, 2023;4:34:27 PM;0,00
May 31, 2023;4:34:32 PM;0,00
May 31, 2023;4:34:37 PM;0,00
May 31, 2023;4:34:42 PM;0,00
May 31, 2023;4:34:47 PM;0,00
May 31, 2023;4:34:57 PM;0,00
May 31, 2023;4:35:02 PM;0,00
May 31, 2023;4:35:07 PM;0,00
May 31, 2023;4:35:12 PM;0,00
May 31, 2023;4:35:17 PM;0,00
May 31, 2023;4:35:22 PM;0,00
May 31, 2023;4:35:27 PM;0,00
May 31, 2023;4:35:32 PM;0,00
May 31, 2023;4:35:37 PM;0,00
May 31, 2023;4:35:42 PM;0,00
May 31, 2023;4:35:47 PM;0,00
May 31, 2023;4:35:52 PM;0,00
May 31, 2023;4:35:57 PM;0,00
May 31, 2023;4:36:02 PM;0,00
May 31, 2023;4:36:12 PM;0,00
May 31, 2023;4:36:17 PM;0,00
May 31, 2023;4:36:22 PM;0,00
May 31, 2023;4:36:32 PM;0,00
May 31, 2023;4:36:37 PM;0,00
May 31, 2023;4:36:42 PM;0,00
May 31, 2023;4:36:47 PM;0,00
May 31, 2023;4:36:52 PM;0,00
May 31, 2023;4:37:02 PM;0,00
May 31, 2023;4:37:07 PM;0,00
May 31, 2023;4:37:12 PM;0,00
May 31, 2023;4:37:17 PM;0,00
May 31, 2023;4:37:27 PM;0,00
May 31, 2023;4:37:37 PM;0,00
May 31, 2023;4:37:42 PM;0,00
May 31, 2023;4:37:47 PM;0,00
May 31, 2023;4:37:52 PM;0,00
May 31, 2023;4:37:57 PM;0,00
May 31, 2023;4:38:02 PM;0,00
May 31, 2023;4:38:07 PM;0,00
May 31, 2023;4:38:17 PM;0,00
May 31, 2023;4:38:22 PM;0,00
May 31, 2023;4:38:32 PM;0,00
May 31, 2023;4:38:37 PM;0,00
May 31, 2023;4:38:42 PM;0,00
May 31, 2023;4:38:47 PM;0,00
May 31, 2023;4:38:52 PM;0,00
May 31, 2023;4:39:02 PM;0,00
May 31, 2023;4:39:07 PM;0,00
May 31, 2023;4:39:17 PM;0,00
May 31, 2023;4:39:22 PM;0,00
May 31, 2023;4:39:27 PM;0,00
May 31, 2023;4:39:32 PM;0,00
May 31, 2023;4:39:42 PM;0,00
May 31, 2023;4:39:47 PM;0,00
May 31, 2023;4:39:57 PM;0,00
May 31, 2023;4:40:02 PM;0,00
May 31, 2023;4:40:07 PM;0,00
May 31, 2023;4:40:12 PM;0,00
May 31, 2023;4:40:17 PM;0,00
